0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:09 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:09 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:09 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:09 -0400] "GET /chart HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:10 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:10 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:10 -0400] "GET /chart HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:10 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:10 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:10 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:10 -0400] "GET /chart HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:11 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:11 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:11 -0400] "GET /chart HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:11 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:11 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:11 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:11 -0400] "GET /chart HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:12 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:12 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:12 -0400] "GET /chart HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:12 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:12 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:12 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:12 -0400] "GET /chart HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:13 -0400] "GET /graph HTTP/1.1" 200 -
